"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"1",26,1,47,1,0,"0",33045,152,188,"0"
"0",37,1,28,0,1,"1",45037,26,238,"1"
"0",38,1,46,0,1,"1",2630,157,83,"0"
"0",24,1,47,1,0,"0",35665,152,174,"0"
"0",33,1,28,0,1,"1",28188,122,257,"0"
"1",38,1,39,0,1,"1",2630,127,244,"0"
"1",47,1,26,0,1,"1",28871,26,60,"1"
"0",76,1,29,1,1,"0",48834,26,54,"0"
"1",29,1,18,1,0,"0",36528,152,270,"0"
"1",29,1,4,1,0,"0",23080,152,103,"0"
"1",26,1,15,0,0,"0",44116,152,125,"0"
"0",48,1,3,0,1,"1",28795,124,286,"0"
"0",72,1,28,1,1,"0",65452,26,38,"0"
"1",30,1,8,1,0,"0",45553,160,295,"0"
"1",20,1,13,0,0,"1",2630,160,222,"0"
"0",24,1,37,0,0,"1",21408,160,202,"0"
"1",77,1,28,1,1,"0",33249,122,267,"0"
"0",23,1,43,0,0,"1",46257,152,215,"0"
"1",45,1,28,1,1,"0",29055,124,279,"0"
"1",23,1,28,1,0,"0",57911,152,34,"0"
"0",21,1,36,1,0,"0",32204,160,221,"0"
"0",67,1,41,0,1,"1",40821,124,73,"0"
"0",46,1,28,0,1,"1",30184,124,110,"0"
"0",37,1,35,0,1,"0",2630,26,71,"0"
"1",25,1,37,0,0,"1",31531,152,49,"1"
"1",77,1,28,0,2,"1",60083,26,191,"0"
"0",30,1,28,1,0,"0",28647,152,190,"0"
"0",22,1,15,0,0,"1",37932,152,293,"0"
"1",42,1,28,0,1,"1",30408,124,74,"1"
"1",55,1,46,0,1,"1",31997,152,202,"0"
"1",60,1,28,0,1,"0",46684,26,280,"0"
"0",42,1,3,0,1,"1",43811,154,243,"0"
"1",50,1,28,1,1,"0",45072,26,65,"0"
"0",47,1,28,1,1,"0",32752,26,105,"0"
"0",51,1,50,0,0,"1",45869,122,100,"0"
"0",69,1,28,0,1,"0",46732,13,259,"0"
"0",31,1,29,1,0,"0",25259,152,42,"0"
"1",24,1,8,1,0,"0",29817,152,88,"0"
"0",42,1,28,1,1,"0",23211,26,113,"0"
"1",36,1,29,0,2,"1",28075,156,230,"0"
"0",25,1,12,1,0,"0",23262,152,69,"0"
"1",24,1,17,1,0,"0",29625,83,286,"0"
"0",43,1,3,0,1,"1",30437,26,208,"0"
"0",43,1,28,0,1,"1",55924,26,216,"1"
"0",26,1,28,1,0,"0",51451,152,30,"0"
"0",71,1,28,1,1,"0",40980,122,255,"0"
"1",38,1,22,0,1,"1",54790,124,164,"0"
"0",50,1,11,0,1,"1",35427,124,237,"1"
"1",47,1,28,1,1,"0",35116,61,38,"0"
"0",48,1,18,0,1,"1",33361,124,289,"0"
"1",40,1,20,1,1,"0",2630,124,165,"0"
"1",43,1,28,0,1,"1",29751,124,269,"0"
"1",43,1,28,0,1,"1",52520,124,63,"0"
"0",61,1,11,0,1,"1",28484,120,23,"0"
"0",61,1,28,1,1,"0",2630,26,226,"0"
"1",42,1,28,0,1,"1",25231,13,246,"0"
"0",40,1,7,1,1,"0",2630,124,184,"0"
"1",68,1,2,1,1,"0",34796,26,170,"0"
"0",24,1,30,1,0,"0",33522,152,188,"0"
"0",26,1,37,0,0,"1",31602,152,280,"0"
"1",23,1,50,0,0,"0",39583,151,128,"0"
"0",58,1,28,0,1,"1",47480,124,137,"0"
"1",26,1,28,1,0,"1",2630,160,186,"0"
"1",28,1,46,0,0,"0",22877,152,240,"0"
"0",20,1,15,1,0,"1",2630,160,253,"0"
"0",28,1,49,1,0,"0",2630,152,269,"0"
"0",28,1,45,0,0,"0",24443,152,236,"0"
"0",22,1,50,1,0,"0",33248,152,209,"0"
"1",57,1,27,0,1,"0",28650,26,48,"0"
"0",27,1,16,1,0,"0",33869,152,43,"0"
"0",21,1,41,1,0,"0",31791,160,99,"0"
"0",30,1,30,0,0,"1",2630,152,53,"1"
"1",24,1,39,1,0,"0",2630,152,96,"0"
"1",74,1,48,0,1,"1",2630,26,142,"0"
"1",25,1,41,1,0,"0",24180,152,90,"0"
"0",28,1,30,1,0,"0",25159,152,253,"0"
"1",79,1,28,0,1,"1",30661,13,67,"0"
"0",48,1,7,1,1,"0",33130,26,51,"0"
"0",36,1,30,1,1,"0",42076,122,71,"0"
"0",24,1,28,0,1,"1",39510,26,114,"0"
"1",36,1,29,0,1,"0",2630,157,93,"0"
"0",25,1,18,1,0,"0",36043,152,190,"0"
"1",48,1,48,1,1,"0",2630,124,76,"0"
"1",51,1,28,0,1,"1",54550,124,238,"0"
"0",37,1,46,0,1,"1",41745,155,165,"0"
"1",46,1,4,0,1,"1",2630,156,96,"1"
"1",43,1,15,1,1,"1",35329,26,50,"0"
"1",41,1,15,0,1,"1",2630,154,207,"0"
"1",39,1,37,0,1,"1",42892,26,61,"0"
"1",22,1,28,1,0,"0",44495,160,261,"0"
"1",43,1,50,0,1,"1",28285,8,153,"1"
"0",52,1,28,0,2,"1",45031,124,179,"0"
"0",39,1,39,0,1,"1",35159,124,32,"1"
"1",68,1,46,1,1,"1",26229,93,289,"0"
"1",32,1,15,1,0,"0",29292,152,230,"0"
"1",29,1,28,0,0,"1",67466,124,75,"1"
"1",67,1,28,0,1,"0",45029,26,285,"0"
"0",24,1,30,1,0,"0",20641,152,46,"0"
"0",27,1,8,1,0,"0",38545,152,94,"0"
"1",53,1,28,0,1,"1",2630,122,83,"0"
"1",21,1,3,1,0,"1",24132,160,69,"0"
"0",25,1,14,0,0,"1",33931,152,152,"0"
"1",50,1,3,1,1,"0",33709,154,142,"0"
"0",23,1,36,1,0,"0",30603,152,285,"0"
"1",23,1,8,1,0,"0",2630,152,51,"0"
"1",23,1,8,0,0,"1",44892,152,265,"1"
"1",23,1,46,0,0,"1",2630,160,64,"0"
"0",22,1,11,1,0,"0",36226,152,215,"0"
"1",21,1,46,1,0,"0",34912,160,180,"0"
"1",42,1,28,0,1,"1",30832,13,162,"0"
"0",20,1,8,0,0,"1",2630,160,111,"0"
"0",48,1,9,0,1,"1",2630,26,299,"0"
"0",29,1,28,1,0,"0",24799,152,136,"0"
"1",33,1,28,1,0,"0",24901,152,169,"0"
"1",40,1,46,0,1,"1",2630,157,263,"0"
"1",37,1,28,1,1,"0",21041,124,258,"0"
"0",24,1,41,1,0,"0",33205,152,151,"0"
"0",53,1,48,1,1,"0",2630,15,29,"0"
"1",42,1,50,1,1,"0",25038,124,123,"0"
"0",24,1,29,1,0,"0",22225,152,290,"0"
"0",29,1,15,1,0,"0",39670,152,46,"0"
"1",73,1,26,1,1,"0",33641,120,77,"0"
"1",21,1,2,0,0,"1",41930,152,145,"0"
"0",33,1,5,1,0,"0",25937,152,222,"0"
"0",46,1,28,0,1,"1",41332,124,65,"0"
"1",53,1,29,0,1,"1",34656,26,281,"0"
"1",38,1,50,1,1,"0",34163,8,76,"0"
"1",65,1,36,1,1,"0",31833,124,197,"0"
"0",34,1,47,0,1,"0",26828,152,195,"0"
"0",22,1,12,1,0,"0",27027,152,175,"0"
"1",59,1,36,0,1,"1",43152,26,293,"0"
"1",41,1,16,0,1,"1",28673,26,283,"1"
"0",27,1,29,1,0,"0",26639,152,40,"0"
"1",33,1,35,0,1,"1",23308,124,222,"0"
"1",41,1,28,0,1,"1",38404,124,245,"1"
"1",36,1,11,0,1,"1",2630,156,270,"1"
"0",24,1,37,0,0,"0",30862,152,261,"0"
"0",20,1,13,0,0,"1",31260,160,99,"0"
"0",41,1,28,1,1,"0",67251,26,291,"0"
"1",63,1,28,0,1,"1",53828,124,103,"0"
"0",78,1,28,0,1,"1",45058,26,14,"0"
"0",34,1,30,0,1,"1",21815,151,167,"0"
"0",42,1,25,0,1,"1",41624,152,182,"0"
"0",36,1,3,0,1,"1",30770,152,33,"0"
"1",23,1,21,1,0,"0",28629,152,246,"0"
"0",74,1,31,0,2,"1",2630,26,128,"0"
"1",44,1,4,1,1,"0",33576,26,188,"0"
"1",42,1,28,1,1,"0",45614,26,10,"0"
"0",22,1,22,0,0,"1",26627,152,252,"0"
"1",46,1,47,0,1,"1",33137,26,149,"1"
"0",21,1,8,0,1,"1",45824,124,106,"0"
"1",22,1,15,0,0,"0",23501,160,233,"0"
"0",30,1,50,1,0,"0",21181,152,101,"0"
"0",25,1,15,1,0,"0",30449,152,231,"0"
"1",43,1,28,0,1,"0",33372,122,296,"0"
"1",25,1,30,0,0,"1",26261,152,119,"0"
"0",25,1,21,1,0,"0",19402,152,35,"0"
"0",23,1,30,1,0,"0",34377,152,212,"0"
"0",27,1,35,1,0,"0",26382,152,298,"0"
"1",22,1,25,0,0,"0",29151,152,138,"0"
"0",29,1,10,1,0,"0",29348,152,162,"0"
"0",62,1,46,0,1,"1",2630,157,230,"0"
"0",24,1,33,1,0,"0",26665,152,287,"0"
"0",65,1,28,0,1,"1",24557,55,262,"0"
"0",23,1,15,1,0,"0",20649,152,267,"0"
"1",29,1,46,0,0,"0",26024,124,181,"0"
"1",37,1,36,0,1,"1",35910,26,146,"0"
"1",24,1,28,1,0,"0",53518,152,195,"0"
"0",23,1,9,0,0,"1",2630,152,176,"0"
"1",21,1,8,0,0,"1",26352,160,24,"0"
"0",39,1,50,0,1,"1",35477,4,280,"0"
"0",23,1,29,1,0,"0",39352,152,178,"0"
"1",22,1,41,0,0,"1",55839,152,82,"0"
"1",28,1,8,0,1,"1",41417,124,118,"0"
"1",47,1,15,0,1,"1",35215,124,151,"1"
"1",53,1,23,0,1,"1",23662,150,66,"1"
"1",56,1,11,0,1,"1",43782,26,140,"0"
"1",47,1,28,0,1,"1",34226,26,293,"1"
"0",66,1,28,0,1,"0",2630,42,283,"0"
"0",25,1,4,1,0,"0",38934,152,297,"0"
"0",28,1,41,0,0,"1",2630,156,273,"0"
"1",45,1,28,0,1,"1",22838,163,39,"1"
"1",38,1,15,0,1,"1",35139,124,290,"1"
"1",35,1,16,1,1,"0",25487,152,22,"0"
"0",51,1,28,0,1,"1",2630,157,104,"1"
"0",24,1,35,1,0,"0",43529,152,35,"0"
"0",26,1,18,1,0,"0",28577,152,142,"0"
"1",38,1,31,1,1,"0",2630,152,122,"0"
"0",66,1,28,1,1,"1",40916,124,102,"0"
"1",22,1,24,0,0,"1",39759,152,229,"0"
"0",38,1,28,0,2,"1",44513,55,19,"1"
"1",23,1,8,1,0,"0",32668,152,206,"0"
"1",45,1,28,0,1,"1",37289,124,17,"1"
"0",51,1,26,1,1,"0",24659,26,259,"0"
"1",67,1,33,0,1,"1",29344,26,246,"0"
"0",24,1,27,0,0,"1",15627,152,41,"0"
"1",62,1,36,1,1,"0",55103,55,155,"0"
"1",26,1,39,0,1,"1",2630,124,119,"0"
"1",42,1,50,0,1,"0",32427,156,263,"0"
"0",24,1,9,0,0,"1",32037,151,100,"0"
"1",51,1,28,0,2,"1",39497,26,225,"0"
"0",36,1,3,1,1,"0",55767,26,42,"0"
"1",21,1,28,0,0,"1",2630,160,248,"0"
"0",23,1,46,1,0,"0",25984,152,26,"0"
"0",24,1,6,1,0,"0",22816,152,280,"0"
"1",43,1,46,1,1,"0",26920,124,116,"0"
"0",45,1,28,0,2,"1",85786,26,48,"0"
"0",25,1,27,0,0,"1",31974,152,40,"0"
"1",55,1,8,0,1,"1",43113,124,29,"1"
"0",25,1,28,1,0,"0",38789,153,186,"0"
"1",41,1,28,1,1,"0",33711,124,202,"0"
"0",42,1,28,0,1,"1",53272,26,80,"1"
"1",33,1,28,0,1,"1",44627,124,225,"0"
"1",56,1,28,1,1,"1",50938,25,181,"0"
"1",22,1,30,1,0,"0",40855,152,20,"0"
"1",22,1,28,0,0,"0",46242,152,29,"0"
"1",64,1,28,0,1,"1",27309,13,265,"0"
"0",48,1,28,0,1,"1",2630,156,11,"0"
"1",38,1,10,1,1,"0",2630,151,281,"0"
"0",47,1,28,1,1,"0",32054,26,181,"0"
"1",43,1,50,0,1,"1",33961,8,150,"0"
"1",26,1,15,1,0,"0",25182,152,262,"0"
"1",42,1,35,0,1,"1",28466,124,160,"0"
"1",21,1,26,1,0,"0",30903,160,213,"0"
"1",57,1,7,0,1,"1",37993,26,102,"0"
"1",61,1,41,1,1,"0",36745,136,25,"0"
"0",42,1,19,0,1,"1",33630,124,125,"0"
"0",39,1,28,0,1,"1",2630,156,36,"0"
"0",29,1,28,0,0,"0",32757,152,184,"0"
"1",24,1,30,0,0,"1",2630,152,39,"0"
"0",22,1,15,0,0,"0",28564,152,257,"0"
"0",49,1,48,1,1,"0",2630,124,127,"0"
"1",26,1,15,1,0,"0",37931,152,67,"0"
"0",23,1,36,0,0,"1",2630,160,215,"0"
"0",40,1,41,0,1,"1",36769,52,195,"0"
"1",26,1,28,0,0,"0",39964,152,71,"0"
"1",50,1,3,0,1,"1",34998,26,14,"1"
"0",25,1,11,1,0,"0",32600,152,100,"0"
"0",49,1,28,0,1,"0",45036,26,100,"0"
"0",25,1,41,1,0,"0",37409,152,232,"0"
"0",26,1,30,1,0,"0",2630,152,221,"0"
"1",22,1,43,1,0,"0",2630,152,232,"0"
"0",40,1,28,1,1,"0",50638,26,198,"0"
"0",27,1,29,1,0,"0",35872,152,63,"0"
"1",63,1,50,0,1,"1",34987,8,215,"0"
"1",36,1,28,0,1,"1",61020,122,15,"1"
"0",28,1,41,1,0,"0",31625,152,10,"0"
"1",46,1,7,1,1,"1",40256,26,144,"0"
"1",49,1,39,0,1,"1",32686,124,78,"0"
"0",68,1,24,1,1,"0",35772,26,130,"0"
"1",25,1,13,1,0,"0",21429,152,162,"0"
"0",33,1,30,0,0,"1",26929,163,249,"1"
"1",29,1,47,1,0,"0",27702,152,63,"0"
"1",23,1,24,1,0,"0",2630,152,279,"0"
"1",78,1,28,0,1,"1",2630,122,53,"0"
"1",28,1,29,1,0,"0",18149,152,187,"0"
"1",39,1,3,0,1,"1",24967,124,96,"0"
"0",21,1,30,0,0,"1",24670,160,145,"0"
"0",23,1,11,0,0,"1",34696,152,32,"0"
"0",24,1,8,1,0,"0",25891,152,19,"0"
"1",44,1,28,0,1,"0",31445,61,98,"0"
"1",49,1,28,0,1,"1",41353,26,240,"0"
"1",44,1,28,1,1,"0",52747,124,87,"0"
"1",22,1,22,1,0,"0",29420,152,200,"0"
"0",34,1,28,0,1,"1",42051,26,27,"1"
"0",58,1,8,0,2,"1",56175,26,119,"0"
"0",24,1,47,1,0,"0",26947,152,107,"0"
"1",65,1,32,0,1,"1",2630,152,65,"0"
"1",44,1,41,0,1,"1",30593,136,261,"1"
"0",23,1,8,1,0,"0",45776,152,274,"0"
"0",21,1,2,0,0,"1",28272,152,114,"0"
"1",78,0,48,1,1,"1",2630,124,157,"0"
"1",28,1,9,0,0,"1",27844,152,184,"0"
"0",42,1,41,0,1,"1",40740,26,159,"1"
"0",24,1,8,1,0,"0",37758,152,106,"0"
"0",23,1,30,0,0,"1",28381,152,261,"0"
"0",23,1,25,1,0,"0",47682,152,124,"0"
"0",35,1,8,0,1,"1",76146,124,231,"0"
"1",32,1,28,1,0,"0",36159,152,11,"0"
"1",49,1,8,0,1,"1",49632,26,255,"1"
"0",27,1,15,1,0,"0",28433,152,20,"0"
"1",20,1,39,1,0,"0",35090,160,165,"0"
"1",39,1,13,0,1,"1",2630,157,260,"0"
"0",46,1,24,0,1,"1",37834,26,228,"0"
"1",21,1,50,0,0,"1",27862,152,84,"0"
"0",20,1,35,0,0,"0",2630,160,53,"0"
"1",48,1,14,0,1,"1",37925,26,115,"0"
"0",66,1,8,0,1,"1",31983,124,23,"1"
"1",43,1,28,1,1,"0",39492,124,58,"0"
"1",28,1,29,1,1,"1",2630,156,198,"0"
"0",34,1,45,1,1,"0",29847,152,292,"0"
"0",22,1,34,0,0,"1",23660,152,42,"0"
"1",58,1,8,0,1,"0",32278,124,265,"0"
"1",55,1,28,0,1,"1",41635,124,172,"0"
"1",67,1,11,0,2,"1",2630,124,46,"0"
"0",25,1,6,1,0,"0",28622,152,258,"0"
"0",23,1,28,1,0,"0",27661,152,79,"0"
"0",61,1,28,0,1,"1",36556,26,145,"0"
"0",26,1,32,1,0,"0",32208,152,59,"0"
"1",70,1,28,0,1,"1",42883,124,169,"0"
"0",23,1,8,1,0,"0",38642,152,298,"0"
"0",24,1,36,1,0,"0",43870,152,150,"0"
"1",25,1,43,1,0,"0",2630,160,167,"0"
"0",52,1,28,0,2,"1",35245,26,131,"1"
"1",47,1,28,0,1,"1",30312,23,121,"0"
"0",26,1,14,1,0,"0",32422,152,268,"0"
"0",32,1,28,0,0,"1",31251,26,168,"0"
"1",21,1,28,0,0,"1",46719,26,283,"0"
"0",38,1,28,0,1,"1",32015,52,105,"0"
"1",51,1,34,0,1,"0",2630,157,174,"0"
"1",40,1,35,0,1,"1",35427,124,151,"0"
"0",24,1,2,0,0,"1",33890,152,249,"0"
"0",26,1,41,1,0,"0",27924,152,265,"0"
"1",68,1,28,1,1,"0",43087,26,139,"0"
"1",26,1,25,1,0,"0",2630,152,271,"0"
"1",42,1,46,0,1,"1",31895,26,246,"0"
"1",57,1,46,1,1,"0",25583,124,140,"0"
"0",62,1,49,0,1,"1",29555,152,80,"0"
"1",21,1,46,1,0,"0",36740,160,63,"0"
"1",51,1,28,1,1,"1",52634,26,18,"0"
"1",49,1,29,1,1,"0",36849,26,297,"0"
"1",59,1,45,0,1,"1",2630,154,72,"0"
"1",25,1,25,1,0,"0",22704,152,280,"0"
"1",51,1,8,1,1,"0",36491,26,234,"0"
"0",46,1,28,0,1,"1",51743,26,56,"1"
"0",24,1,2,0,1,"0",2630,156,55,"0"
"0",48,1,48,0,1,"0",2630,118,89,"0"
"1",53,1,17,0,1,"1",48010,124,69,"0"
"0",24,1,36,1,0,"0",36487,160,118,"0"
"0",23,1,18,1,0,"0",37091,152,130,"0"
"1",24,1,8,1,0,"0",54639,152,188,"0"
"0",34,1,39,1,1,"0",2630,156,197,"0"
"0",22,1,8,1,0,"0",43096,152,87,"0"
"1",39,1,41,1,1,"0",42721,124,125,"0"
"1",22,1,8,0,0,"1",39226,152,19,"0"
"1",34,1,4,1,1,"0",31186,124,187,"0"
"0",40,1,28,1,1,"0",31315,124,155,"0"
"0",76,1,8,0,1,"1",50732,26,244,"0"
"1",42,1,28,0,1,"1",49132,122,57,"0"
"1",21,1,15,0,1,"1",2630,156,124,"0"
"1",47,1,39,0,1,"1",28121,124,147,"0"
"0",22,1,13,0,0,"1",26437,152,179,"0"
"1",62,1,28,1,1,"0",46164,125,155,"0"
"0",55,1,8,0,1,"1",37816,152,35,"0"
"1",51,1,28,0,1,"1",48662,122,53,"1"
"0",24,1,6,1,0,"0",21770,152,190,"0"
"1",32,1,33,1,0,"0",2630,154,167,"0"
"1",46,1,28,1,1,"0",39049,26,125,"0"
"0",24,1,28,1,0,"0",33324,152,97,"0"
"1",74,1,28,0,2,"1",37041,124,113,"0"
"1",26,1,37,0,0,"1",38651,152,221,"0"
"1",58,1,46,1,1,"0",23767,119,16,"0"
"1",46,1,28,0,1,"1",45115,26,182,"0"
"1",59,1,28,0,1,"1",72389,26,148,"0"
"0",50,1,28,0,1,"0",32356,124,228,"0"
"1",24,1,6,1,0,"0",2630,26,58,"0"
"0",50,1,28,0,1,"1",25379,26,225,"0"
"1",22,1,8,1,0,"0",40567,160,187,"0"
"1",41,1,28,1,1,"0",37262,124,10,"0"
"0",68,1,28,1,1,"0",47249,26,244,"0"
"0",25,1,35,0,0,"1",33639,152,203,"0"
"0",27,1,37,1,0,"0",37692,152,17,"0"
"0",56,1,28,0,1,"1",37341,26,115,"1"
"0",34,1,28,1,1,"0",29288,26,121,"0"
"0",22,1,28,0,0,"1",44548,26,17,"0"
"1",32,1,24,1,1,"0",28688,156,62,"0"
"1",24,1,13,1,0,"0",21792,152,57,"0"
"1",21,1,29,1,0,"0",41572,152,202,"0"
"0",20,1,27,1,0,"1",2630,160,228,"0"
"0",54,1,28,0,2,"1",38529,124,241,"0"
"0",54,1,45,0,1,"1",46445,124,299,"0"
"1",67,1,50,1,1,"0",37368,8,53,"0"
"1",60,1,28,0,1,"1",24028,26,283,"0"
"0",23,1,3,1,0,"0",28497,152,79,"0"
"1",39,1,28,0,2,"1",40127,122,102,"0"
"1",24,1,14,1,0,"0",23614,152,13,"0"
"0",25,1,28,1,0,"0",42425,152,104,"0"
"0",30,1,28,0,0,"1",47085,124,253,"0"
"1",25,1,49,0,0,"1",28565,152,131,"0"
"1",69,1,50,0,1,"1",41811,8,211,"0"
"0",23,1,8,0,0,"1",59194,160,247,"0"
"0",73,1,28,0,2,"1",68028,26,215,"0"
"1",26,1,6,1,0,"0",32474,152,85,"0"
"1",53,1,46,0,1,"1",2630,124,145,"0"
"0",21,1,14,0,0,"1",27598,153,121,"1"
"1",27,1,36,1,0,"0",29457,152,90,"0"
"1",53,1,12,0,1,"1",38361,26,199,"0"
"0",31,1,41,0,1,"1",2630,156,108,"1"
"0",22,1,29,1,0,"0",24865,152,41,"0"
"1",25,1,33,1,0,"0",31465,152,143,"0"
"1",24,1,6,1,0,"0",17955,152,40,"0"
"1",51,1,11,0,1,"0",2630,26,175,"0"
"0",24,1,29,1,0,"0",61804,151,236,"0"
"1",56,1,28,1,1,"0",2630,26,167,"0"
"0",24,1,11,1,0,"0",2630,152,194,"0"
"0",26,1,4,1,0,"0",27615,152,41,"0"
"0",23,1,21,0,1,"1",29199,155,180,"1"
"1",35,1,28,0,1,"1",34990,157,64,"0"
"1",53,1,8,0,1,"1",54384,124,27,"0"
"1",21,1,46,1,0,"0",35095,160,169,"0"
"1",77,1,28,0,1,"1",2630,122,173,"0"
"0",20,1,36,0,0,"1",28220,160,281,"0"
"0",47,1,28,0,1,"0",45359,26,285,"0"
"0",45,1,2,0,1,"1",30897,154,180,"1"
"0",33,1,15,0,0,"1",34327,152,130,"0"
"1",24,1,15,0,0,"1",39399,151,279,"0"
"0",22,1,41,1,0,"0",42990,160,240,"0"
"1",23,1,41,1,0,"0",26016,152,149,"0"
"1",55,1,28,0,1,"1",37450,26,76,"0"
"0",53,1,32,1,1,"0",2630,124,169,"0"
"0",43,1,28,0,1,"1",46256,26,97,"0"
"1",54,1,7,0,1,"1",31555,26,285,"0"
"0",60,1,28,0,1,"1",22785,26,192,"0"
"1",62,1,28,1,1,"1",2630,26,58,"0"
"0",38,1,21,0,1,"0",18204,152,134,"0"
"1",52,1,28,0,2,"1",50941,124,159,"0"
"1",46,1,28,0,1,"1",72004,124,187,"1"
"1",22,1,3,1,0,"0",58754,160,224,"0"
"0",34,1,46,0,1,"1",29947,157,269,"0"
"1",45,1,28,0,1,"1",25866,26,213,"0"
"0",25,1,25,1,0,"0",39945,152,256,"0"
"1",40,1,46,1,1,"0",27242,124,154,"0"
"1",21,1,8,1,0,"0",36052,152,77,"0"
"0",60,1,50,0,1,"1",27640,8,286,"0"
"0",53,1,28,0,2,"1",50256,26,57,"0"
"1",53,1,35,1,1,"0",46622,152,256,"0"
"0",36,1,28,0,1,"1",30425,26,166,"1"
"1",40,1,20,0,1,"1",2630,124,217,"0"
"1",59,1,28,0,2,"1",59984,26,129,"0"
"1",25,1,13,1,0,"0",18804,152,32,"0"
"1",62,1,28,0,2,"1",55704,122,296,"0"
"1",70,1,28,1,1,"1",35873,124,223,"0"
"0",23,1,46,1,0,"1",27673,26,49,"0"
"0",51,1,28,0,1,"1",48658,124,257,"0"
"1",56,1,8,1,1,"0",38090,26,201,"0"
"1",39,1,8,0,1,"1",32775,124,250,"0"
"1",79,1,8,0,1,"0",31956,7,195,"0"
"1",42,1,31,0,1,"1",2630,124,84,"1"
"1",52,1,31,1,1,"1",2630,26,86,"0"
"1",39,1,8,0,1,"1",37566,26,174,"1"
